순번,한자,구자,급수,부수,음,훈,内音,内訓,外音,外訓,音,訓
1443,抵,,4,手,저,막다,テイ,,シ,あ(たる)・ふ(れる)・う(つ),テイ・シ,あ(たる)・ふ(れる)・う(つ)
1444,邸,,2.5,邑,저,집,テイ,,,やしき,テイ,やしき
1445,亭,,2.5,亠,정,정자,テイ,,チン,あずまや,テイ・チン,あずまや
1446,貞,,2.5,貝,정,곧다,テイ,,ジョウ,ただ(しい),テイ・ジョウ,ただ(しい)
1447,帝,,3,巾,제,임금,テイ,,タイ,みかど,テイ・タイ,みかど
1448,訂,,3,言,정,바로잡다,テイ,,,ただ(す)・さだ(める),テイ,ただ(す)・さだ(める)
1449,庭,,8,广,정,정원,テイ,にわ,,,テイ,にわ
1450,逓,遞,2.5,辵,체,갈리다,テイ,,,か(わる)・たが(いに),テイ,か(わる)・たが(いに)
1451,停,,6,人,정,머무르다,テイ,,,と(まる)・とど(まる),テイ,と(まる)・とど(まる)
1452,偵,,2.5,人,정,조사하다,テイ,,,うかが(う),テイ,うかが(う)
1453,堤,,4,土,제,둑,テイ,つつみ,,,テイ,つつみ
1454,提,,6,手,제,"제공, 들다",テイ,さ(げる),ダイ・チョウ,ひっさ(げる)・ひさげ,テイ・ダイ・チョウ,さ(げる)・ひっさ(げる)・ひさげ
1455,程,程,6,禾,정,정도,テイ,ほど,,のり,テイ,ほど・のり
1456,艇,,2.5,舟,정,배,テイ,,,こぶね,テイ,こぶね
1457,締,,3,糸,체,"맺다, 죄이다",テイ,し(まる)・し(める),,むす(ぶ),テイ,し(まる)・し(める)・むす(ぶ)
1458,諦,,2,言,체,포기하다,テイ,あきら(める),タイ,つまび(らか)・まこと,テイ・タイ,あきら(める)・つまび(らか)・まこと
1459,泥,,2.5,水,니,진흙,デイ,どろ,,なず(む),デイ,どろ・なず(む)
1460,的,,7,白,적,"목표, 적",テキ,まと,,あき(らか),テキ,まと・あき(らか)
